Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
44	-363.74402	603.775	-1.4102353	-4273.604	256.0	0.0	256.0	256.0	-311.9537	353.89062	-129.52914	-3369.6428	1152000	-8.34465e-09	174091.77	-0.0046596723	-34668.72	1.2548066	0.0029984233	0.034570314	79.0	75.634895	596.60223	456.08636	10266.439332962036
45	-283.61646	410.1973	-1.000883	-2249.662	256.0	0.0	256.0	256.0	-320.90045	310.6234	-132.92928	-3615.248	1177600	3.5762786e-09	107783.34	-0.0030554812	-12773.055	1.1647859	0.0018136163	0.01609375	79.0	67.567474	442.9999	385.19724	10493.711788415909
46	-283.41037	386.4828	-1.0004466	-2654.545	256.0	0.0	256.0	256.0	-254.7449	211.99988	-83.68646	-1779.9132	1203200	6.556511e-09	96989.78	-0.0037868596	-10065.148	1.2628202	0.002054714	0.02703125	79.0	89.63396	563.2381	400.49823	10719.841535568237
47	-261.83026	313.03918	-1.0046803	-1650.3289	256.0	0.0	256.0	256.0	-269.62085	230.57475	-118.8856	-2470.7632	1228800	9.536743e-09	70327.234	-0.0035448289	-5245.1953	1.2603	0.0017256424	0.027539063	79.0	-6.0745387	367.66742	301.94046	10937.977612733841
48	-293.6004	402.77695	-1.0463794	-2047.0304	256.0	0.0	256.0	256.0	-276.76956	232.19533	-111.39198	-2535.6724	1254400	-5.9604646e-09	96703.42	-0.00421288	-7778.875	1.2696956	0.002168452	0.03359375	79.0	58.762257	429.25058	381.4106	11161.381091594696
49	-326.79257	447.38376	-1.3981519	-2279.3667	256.0	0.0	256.0	256.0	-315.16074	315.6773	-121.32989	-2785.2966	1280000	-8.642673e-09	110585.75	-0.004047093	-9084.859	1.2769945	0.0024091601	0.026054688	79.0	146.33429	612.1832	537.17596	11386.564549922943
50	-316.51056	389.89563	-1.391553	-2544.797	256.0	0.0	256.0	256.0	-308.03635	270.9988	-116.96849	-2605.5808	1305600	7.152557e-09	71663.02	-0.00408951	-6393.6523	1.3493854	0.0022457605	0.026679687	79.0	141.0666	534.2523	469.06656	11622.30361866951
51	-301.49756	363.23654	-1.1965457	-1977.7849	256.0	0.0	256.0	256.0	-304.2024	268.82355	-128.16145	-3281.3352	1331200	7.152557e-09	86882.36	-0.0031288655	-7164.3906	1.3154126	0.0015225313	0.0203125	79.0	66.7969	477.552	400.32947	11848.953110694885
52	-326.7718	435.0719	-1.391553	-2611.4639	256.0	0.0	256.0	256.0	-311.71228	250.96861	-142.28702	-2710.5935	1356800	4.7683715e-09	116150.86	-0.003549527	-7774.6094	1.2673427	0.0018323504	0.029648438	79.0	33.34113	522.9599	400.14523	12071.861990213394
53	-273.68973	339.69592	-1.4476217	-1640.5381	256.0	0.0	256.0	256.0	-301.89783	227.72205	-126.80774	-2452.4956	1382400	-4.7683715e-09	77760.08	-0.0025167633	-6162.25	1.2095151	0.0018988404	0.01578125	79.0	16.070448	362.57852	319.35397	12291.968534946442
54	-275.4384	340.04642	-1.391553	-2034.6641	256.0	0.0	256.0	256.0	-275.44675	202.02954	-94.11946	-2465.9883	1408000	-5.9604646e-09	78002.734	-0.0030109691	-8392.242	1.2149527	0.001595504	0.018671876	79.0	84.594284	495.91885	412.8894	12521.21626162529
55	-331.41464	434.2347	-1.391553	-2454.7576	256.0	0.0	256.0	256.0	-298.53812	264.16965	-93.45208	-2526.5645	1433600	-1.07288365e-08	103688.97	-0.003042226	-7852.6875	1.3564786	0.0017385618	0.02140625	79.0	60.094173	536.62805	418.37427	12750.042605638504
56	-364.6975	510.7686	-1.6916142	-2227.0205	256.0	0.0	256.0	256.0	-360.3876	360.06714	-126.39668	-3127.624	1459200	3.5762786e-09	116106.31	-0.0036795342	-13218.859	1.2899367	0.0025067003	0.03699219	79.0	154.88446	822.141	538.3229	12981.80107331276
57	-392.35452	534.48914	-1.1956993	-2446.5178	256.0	0.0	256.0	256.0	-359.16782	405.40668	-90.232124	-3117.5054	1484800	-3.5762786e-09	143213.08	-0.0031398523	-12113.125	1.2483455	0.0019403987	0.024179688	79.0	251.0779	761.79193	679.81494	13212.234877347946
58	-310.94583	360.33954	-1.1969923	-2028.7549	256.0	0.0	256.0	256.0	-347.9103	265.487	-106.21359	-2359.4016	1510400	1.07288365e-08	93713.28	-0.0028613734	-14053.469	1.2961572	0.0021636565	0.02734375	79.0	86.30991	583.98755	422.83417	13444.024301052094
59	-268.84344	342.2278	-1.0444609	-2051.461	256.0	0.0	256.0	256.0	-281.95938	218.60332	-99.06269	-2209.4255	1536000	-1.4901161e-09	66659.39	-0.0037395905	-4350.66	1.1683245	0.0018452506	0.027890624	79.0	30.100685	413.7003	327.22858	13673.140961408615
60	-278.62238	434.37204	-1.0004466	-2529.4597	256.0	0.0	256.0	256.0	-280.4122	262.0752	-92.79736	-2703.5366	1561600	7.152557e-09	102844.66	-0.0030138828	-9692.734	1.1601743	0.0023404616	0.026835937	79.0	99.0307	421.29153	410.08765	13909.247738838196
61	-305.4789	330.4123	-1.391553	-1944.5624	256.0	0.0	256.0	256.0	-260.21677	204.79887	-85.825005	-2059.4817	1587200	-1.1920929e-09	76553.26	-0.0036580656	-9796.609	1.2552307	0.0023604725	0.03	79.0	24.78069	514.50464	366.1361	14134.809613227844
62	-364.77762	574.27155	-1.0999082	-3210.386	256.0	0.0	256.0	256.0	-345.96423	374.09393	-144.06754	-3028.5337	1612800	4.7683715e-09	150117.64	-0.0032766869	-19736.21	1.1167483	0.00126918	0.01953125	79.0	218.31908	803.9764	615.70984	14365.208096027374
63	-254.75558	393.95413	-1.4309365	-2478.5898	256.0	0.0	256.0	256.0	-321.83466	355.4793	-104.2758	-3471.0234	1638400	-8.9406965e-10	82619.9	-0.003367636	-16304.695	1.0797344	0.0024725143	0.020742187	79.0	117.814354	443.147	394.76425	14597.32149362564
64	-253.85281	305.5086	-1.000883	-1882.3075	256.0	0.0	256.0	256.0	-242.82095	213.61183	-99.24332	-2930.7646	1664000	1.1920929e-09	66543.01	-0.0030629856	-5445.996	1.0726436	0.0020374372	0.023476563	79.0	71.68625	478.15198	359.97018	14810.084248065948
